OriginalFile,ProcessedFile,Status,Message
fundus_images\0_left.jpg,processed_images_training\0_left_processed.png,Success,
fundus_images\0_right.jpg,processed_images_training\0_right_processed.png,Success,
fundus_images\1005_right.jpg,processed_images_training\1005_right_processed.png,Success,
fundus_images\1006_left.jpg,processed_images_training\1006_left_processed.png,Success,
fundus_images\1006_right.jpg,processed_images_training\1006_right_processed.png,Success,
fundus_images\1008_left.jpg,processed_images_training\1008_left_processed.png,Success,
fundus_images\1008_right.jpg,processed_images_training\1008_right_processed.png,Success,
fundus_images\100_left.jpg,processed_images_training\100_left_processed.png,Success,
fundus_images\100_right.jpg,processed_images_training\100_right_processed.png,Success,
fundus_images\1010_left.jpg,processed_images_training\1010_left_processed.png,Success,
fundus_images\1010_right.jpg,processed_images_training\1010_right_processed.png,Success,
fundus_images\1011_left.jpg,processed_images_training\1011_left_processed.png,Success,
fundus_images\1011_right.jpg,processed_images_training\1011_right_processed.png,Success,
fundus_images\1012_left.jpg,processed_images_training\1012_left_processed.png,Success,
fundus_images\1012_right.jpg,processed_images_training\1012_right_processed.png,Success,
fundus_images\1013_left.jpg,processed_images_training\1013_left_processed.png,Success,
fundus_images\1013_right.jpg,processed_images_training\1013_right_processed.png,Success,
fundus_images\1014_right.jpg,processed_images_training\1014_right_processed.png,Success,
fundus_images\1015_left.jpg,processed_images_training\1015_left_processed.png,Success,
fundus_images\1015_right.jpg,processed_images_training\1015_right_processed.png,Success,
fundus_images\1016_left.jpg,processed_images_training\1016_left_processed.png,Success,
fundus_images\1016_right.jpg,processed_images_training\1016_right_processed.png,Success,
fundus_images\1018_right.jpg,processed_images_training\1018_right_processed.png,Success,
fundus_images\1019_left.jpg,processed_images_training\1019_left_processed.png,Success,
fundus_images\1019_right.jpg,processed_images_training\1019_right_processed.png,Success,
fundus_images\101_left.jpg,processed_images_training\101_left_processed.png,Success,
fundus_images\101_right.jpg,processed_images_training\101_right_processed.png,Success,
fundus_images\1020_left.jpg,processed_images_training\1020_left_processed.png,Success,
fundus_images\1021_left.jpg,processed_images_training\1021_left_processed.png,Success,
fundus_images\1021_right.jpg,processed_images_training\1021_right_processed.png,Success,
fundus_images\1022_left.jpg,processed_images_training\1022_left_processed.png,Success,
fundus_images\1022_right.jpg,processed_images_training\1022_right_processed.png,Success,
fundus_images\1023_left.jpg,processed_images_training\1023_left_processed.png,Success,
fundus_images\1023_right.jpg,processed_images_training\1023_right_processed.png,Success,
fundus_images\1024_left.jpg,processed_images_training\1024_left_processed.png,Success,
fundus_images\1024_right.jpg,processed_images_training\1024_right_processed.png,Success,
fundus_images\1028_left.jpg,processed_images_training\1028_left_processed.png,Success,
fundus_images\1028_right.jpg,processed_images_training\1028_right_processed.png,Success,
fundus_images\102_left.jpg,processed_images_training\102_left_processed.png,Success,
fundus_images\102_right.jpg,processed_images_training\102_right_processed.png,Success,
fundus_images\1031_left.jpg,processed_images_training\1031_left_processed.png,Success,
fundus_images\1031_right.jpg,processed_images_training\1031_right_processed.png,Success,
fundus_images\1032_left.jpg,processed_images_training\1032_left_processed.png,Success,
fundus_images\1032_right.jpg,processed_images_training\1032_right_processed.png,Success,
fundus_images\1033_right.jpg,processed_images_training\1033_right_processed.png,Success,
fundus_images\1034_left.jpg,processed_images_training\1034_left_processed.png,Success,
fundus_images\1034_right.jpg,processed_images_training\1034_right_processed.png,Success,
fundus_images\1035_left.jpg,processed_images_training\1035_left_processed.png,Success,
fundus_images\1035_right.jpg,processed_images_training\1035_right_processed.png,Success,
fundus_images\1038_left.jpg,processed_images_training\1038_left_processed.png,Success,
fundus_images\1038_right.jpg,processed_images_training\1038_right_processed.png,Success,
fundus_images\1039_left.jpg,processed_images_training\1039_left_processed.png,Success,
fundus_images\1039_right.jpg,processed_images_training\1039_right_processed.png,Success,
fundus_images\103_left.jpg,processed_images_training\103_left_processed.png,Success,
fundus_images\103_right.jpg,processed_images_training\103_right_processed.png,Success,
fundus_images\1040_left.jpg,processed_images_training\1040_left_processed.png,Success,
fundus_images\1040_right.jpg,processed_images_training\1040_right_processed.png,Success,
fundus_images\1041_left.jpg,processed_images_training\1041_left_processed.png,Success,
fundus_images\1041_right.jpg,processed_images_training\1041_right_processed.png,Success,
fundus_images\1043_left.jpg,processed_images_training\1043_left_processed.png,Success,
fundus_images\1043_right.jpg,processed_images_training\1043_right_processed.png,Success,
fundus_images\1045_left.jpg,processed_images_training\1045_left_processed.png,Success,
fundus_images\1045_right.jpg,processed_images_training\1045_right_processed.png,Success,
fundus_images\1046_left.jpg,processed_images_training\1046_left_processed.png,Success,
fundus_images\1046_right.jpg,processed_images_training\1046_right_processed.png,Success,
fundus_images\1048_left.jpg,processed_images_training\1048_left_processed.png,Success,
fundus_images\1048_right.jpg,processed_images_training\1048_right_processed.png,Success,
fundus_images\1050_left.jpg,processed_images_training\1050_left_processed.png,Success,
fundus_images\1050_right.jpg,processed_images_training\1050_right_processed.png,Success,
fundus_images\1052_left.jpg,processed_images_training\1052_left_processed.png,Success,
fundus_images\1052_right.jpg,processed_images_training\1052_right_processed.png,Success,
fundus_images\1053_left.jpg,processed_images_training\1053_left_processed.png,Success,
fundus_images\1053_right.jpg,processed_images_training\1053_right_processed.png,Success,
fundus_images\1054_left.jpg,processed_images_training\1054_left_processed.png,Success,
fundus_images\1054_right.jpg,processed_images_training\1054_right_processed.png,Success,
fundus_images\1056_left.jpg,processed_images_training\1056_left_processed.png,Success,
fundus_images\1056_right.jpg,processed_images_training\1056_right_processed.png,Success,
fundus_images\1058_left.jpg,processed_images_training\1058_left_processed.png,Success,
fundus_images\1058_right.jpg,processed_images_training\1058_right_processed.png,Success,
fundus_images\1059_left.jpg,processed_images_training\1059_left_processed.png,Success,
fundus_images\1059_right.jpg,processed_images_training\1059_right_processed.png,Success,
fundus_images\105_left.jpg,processed_images_training\105_left_processed.png,Success,
fundus_images\105_right.jpg,processed_images_training\105_right_processed.png,Success,
fundus_images\1060_left.jpg,processed_images_training\1060_left_processed.png,Success,
fundus_images\1060_right.jpg,processed_images_training\1060_right_processed.png,Success,
fundus_images\1061_right.jpg,processed_images_training\1061_right_processed.png,Success,
fundus_images\1062_right.jpg,processed_images_training\1062_right_processed.png,Success,
fundus_images\1064_left.jpg,processed_images_training\1064_left_processed.png,Success,
fundus_images\1064_right.jpg,processed_images_training\1064_right_processed.png,Success,
fundus_images\1065_left.jpg,processed_images_training\1065_left_processed.png,Success,
fundus_images\1066_right.jpg,processed_images_training\1066_right_processed.png,Success,
fundus_images\1068_left.jpg,processed_images_training\1068_left_processed.png,Success,
fundus_images\1068_right.jpg,processed_images_training\1068_right_processed.png,Success,
fundus_images\106_left.jpg,processed_images_training\106_left_processed.png,Success,
fundus_images\106_right.jpg,processed_images_training\106_right_processed.png,Success,
fundus_images\1071_left.jpg,processed_images_training\1071_left_processed.png,Success,
fundus_images\1071_right.jpg,processed_images_training\1071_right_processed.png,Success,
fundus_images\1072_left.jpg,processed_images_training\1072_left_processed.png,Success,
fundus_images\1072_right.jpg,processed_images_training\1072_right_processed.png,Success,
fundus_images\1074_left.jpg,processed_images_training\1074_left_processed.png,Success,
fundus_images\1074_right.jpg,processed_images_training\1074_right_processed.png,Success,
fundus_images\1075_left.jpg,processed_images_training\1075_left_processed.png,Success,
fundus_images\1075_right.jpg,processed_images_training\1075_right_processed.png,Success,
fundus_images\1077_right.jpg,processed_images_training\1077_right_processed.png,Success,
fundus_images\1079_left.jpg,processed_images_training\1079_left_processed.png,Success,
fundus_images\1079_right.jpg,processed_images_training\1079_right_processed.png,Success,
fundus_images\107_left.jpg,processed_images_training\107_left_processed.png,Success,
fundus_images\107_right.jpg,processed_images_training\107_right_processed.png,Success,
fundus_images\1080_left.jpg,processed_images_training\1080_left_processed.png,Success,
fundus_images\1080_right.jpg,processed_images_training\1080_right_processed.png,Success,
fundus_images\1081_left.jpg,processed_images_training\1081_left_processed.png,Success,
fundus_images\1081_right.jpg,processed_images_training\1081_right_processed.png,Success,
fundus_images\1082_left.jpg,processed_images_training\1082_left_processed.png,Success,
fundus_images\1082_right.jpg,processed_images_training\1082_right_processed.png,Success,
fundus_images\1083_left.jpg,processed_images_training\1083_left_processed.png,Success,
fundus_images\1083_right.jpg,processed_images_training\1083_right_processed.png,Success,
